단어,카테고리,등급,뜻풀이
이해,경제,3,이익과 손해.
이해관계,경제,2,서로 이익과 손해가 걸려 있는 관계.
인간,일상,2,생각할 수 있으며 언어와 도구를 만들어 사용하고 사회를 이루어 사는 존재.
인건비,경제,3,사람에게 일을 시키는 데 드는 비용.
인공위성,과학,3,지구와 같은 행성 둘레를 돌면서 관찰할 수 있도록 로켓을 이용하여 쏘아 올린 물체.
인과응보,고사성어,3,원인이 있으면 그에 따른 결과가 반드시 돌아온다.
인구주택총조사,경제,3,국가 전체의 인구와 주택을 조사하는 것
인기,일상,1,어떤 대상에 쏠리는 많은 사람들의 높은 관심이나 좋아하는 마음.
인덕턴스,과학,4,코일에 흐르는 전류 변화가 유도 기전력을 만드는 정도
인면수심,고사성어,4,얼굴은 사람이지만 마음은 짐승처럼 악하다.
인명재천,고사성어,4,사람의 목숨은 하늘의 뜻에 달려 있다.
인사,일상,1,만나거나 헤어질 때에 예의를 나타냄. 또는 그런 말이나 행동.
인사불성,고사성어,4,술에 취하거나 병이 들어 정신을 잃고 쓰러졌다.
인산인해,고사성어,4,사람들이 산처럼 쌓이고 바다처럼 가득 모여 있다.
인상,경제,2,"물건값이나 월급, 요금 등을 올림."
인세,경제,3,책이나 예술 작품이 팔린 수량에 따라 일정 비율로 책이나 예술 작품을 지은 사람에게 주는 돈.
인센티브,경제,3,의욕을 높이기 위하여 제공하는 각종 혜택.
인수인계,고사성어,4,업무를 다음 사람에게 제대로 전달하고 이어받는다.
인스턴트,일상,2,간편하게 그 자리에서 바로 이루어짐. 흔히 간단히 조리해 먹을 수 있는 식품을 말한다.
인정사정,고사성어,3,남을 가엾게 여기는 마음과 사정을 살펴주는 태도
인지상정,고사성어,3,사람이라면 누구나 가지는 보편적인 마음
인출,경제,3,끌어서 빼냄.
인터넷,일상,1,전 세계의 컴퓨터가 서로 정보를 교환할 수 있도록 연결된 하나의 거대한 컴퓨터 통신망.
인터뷰,일상,2,특정한 목적을 가지고 개인이나 집단을 만나 이야기를 나누며 정보를 수집하는 일.
인테리어,일상,2,집 안이나 건물 안을 장식하는 일.
인플레,경제,3,나라 안에서 쓰이고 있는 돈의 양이 늘어나서 화폐 가치가 떨어지고 물가가 계속 올라 사람들의 실질적 소득이 줄어드는 현상.
인플레이션,경제,3,물가가 지속적으로 상승하는 현상
일거수일투족,고사성어,3,모든 행동과 사소한 움직임 하나하나
일거양득,고사성어,3,한 가지 행동으로 두 가지 이득을 챙긴다.
일교차,일상,2,"하루 동안에 기온, 기압, 습도 등이 바뀌는 차이."
일구이언,고사성어,3,말을 자꾸 바꾸어 신뢰할 수 없게 만든다.
일기,일상,1,"날마다 그날그날 겪은 일이나 생각, 느낌 등을 적은 글."
일도양단,고사성어,3,칼로 물을 베듯 한 번에 딱 잘라 결정한다.
일망타진,고사성어,3,한 번의 그물질로 무리를 모두 다 잡는다.
일목요연,고사성어,3,한눈에 들어올 정도로 명확하고 질서 정연하다.
일벌백계,고사성어,3,한 사람을 벌주어 백 사람을 경계하게 한다.
일사불란,고사성어,3,질서가 있어 조금도 어지럽지 않은 상태
일사천리,고사성어,3,일이 아주 빠르게 막힘없이 잘 진행된다.
일석이조,고사성어,3,돌 하나를 던져 새 두 마리를 잡는 이득
일식,과학,2,달이 태양을 가리는 현상
일심동체,고사성어,3,두 사람 이상이 한마음 한뜻으로 뭉친다.
일자리,일상,2,일터나 직장과 같이 직업으로 삼아 일하는 곳.
일장일단,고사성어,3,장점이 있으면 그만큼 단점도 함께 존재한다.
일장춘몽,고사성어,4,한바탕의 봄날 꿈처럼 덧없이 사라지는 영화
일진일퇴,고사성어,3,공격했다가 물러났다가 하며 팽팽하게 겨룬다.
일촉즉발,고사성어,3,조금만 건드려도 곧 폭발할 것 같은 위태로운 상황
일취월장,고사성어,3,날로 다달이 학식이나 실력이 나날이 발전한다.
일파만파,고사성어,3,작은 일이 퍼져나가 엄청난 영향을 미친다.
일편단심,고사성어,3,한 조각의 붉은 마음으로 굳게 믿고 충성한다.
일필휘지,고사성어,4,붓으로 글씨를 단번에 빠르게 써 내려간다.
일확천금,고사성어,3,한 번의 노력으로 갑자기 큰 돈을 벌어들인다.
일회용품,일상,2,한 번만 쓰고 버리도록 만들어진 물건.
임금,경제,2,일을 한 대가로 받는 돈.
임금피크제,경제,3,정년까지 임금을 조정하는 제도
임기응변,고사성어,3,임시로 대처하는 뛰어난 재치와 수단
임대료,경제,2,빌린 물건에 대한 사용료
임대인,경제,3,돈을 받고 다른 사람에게 물건을 빌려준 사람.
임대차,경제,2,물건을 빌리고 빌려주는 계약
임시방편,고사성어,3,우선은 급한 불을 끄기 위해 하는 임시책
임업,경제,3,산림을 유지 혹은 조성하고 이를 경제적으로 이용하는 산업.
임전무퇴,고사성어,4,싸움에 임하여 결코 물러서지 않겠다는 자세
임차,경제,3,"돈을 내고 남의 물건이나 건물, 땅 등을 빌려 씀."
임차료,경제,3,"남에게 물건이나 건물, 땅 등을 빌려 쓰는 대가로 주는 돈."
임차인,경제,3,"돈을 내고 남의 물건이나 건물, 땅 등을 빌려 쓰는 사람."
입고,경제,3,창고에 물건을 넣음. 또는 새로운 상품이 들어옴.
입구,일상,1,안으로 들어갈 수 있는 문이나 통로.
입금,경제,2,은행과 같은 금융 기관의 계좌에 돈을 넣음.
입술,일상,1,사람의 입 주위를 둘러싸고 있는 붉고 부드러운 살.
입신양명,고사성어,4,출세하여 이름을 세상에 널리 알리고 명예를 얻는다.
입원,일상,1,병을 고치기 위해 일정 기간 병원에 들어가 지냄.
입원실,일상,2,병을 고치기 위해 일정 기간 병원에 들어가 지내는 방.
입자,과학,3,물질을 이루는 아주 작은 크기의 물체.
입찰,경제,3,"상품을 사고팔거나 도급 계약 등을 할 때, 거래하고 싶어 하는 여러 사람들에게 각자 원하는 가격을 써서 내도록 하는 일."
입출금,경제,2,들어오는 돈과 나가는 돈.
입학,일상,1,학생이 되어 공부하기 위해 학교에 들어감.
입학생,일상,2,학생이 되어 공부하기 위해 학교에 들어가는 사람.
자가당착,고사성어,3,자기의 말이 앞뒤가 맞지 않고 모순됨
자격지심,고사성어,3,자기가 한 일에 대해 스스로 미흡함
자금,경제,3,사업을 하는 데에 쓰는 돈.
자금난,경제,3,장사나 사업의 기본이 되는 돈이 부족하거나 없어서 생기는 어려움.
자급자족,고사성어,3,필요한 것을 스스로 만들고 먹으며 생활한다.
자동차,일상,1,엔진의 힘으로 바퀴를 굴려서 도로 위를 움직이도록 만든 차.
자두,일상,2,살구보다 조금 크고 새콤하고 달콤한 맛이 나는 붉은색 과일.
자랑,일상,1,자기 또는 자기와 관계있는 사람이나 물건이 남에게 칭찬을 받을 만한 것임을 드러내어 말하거나 뽐냄.
자리,일상,1,사람이나 물건이 차지하고 있는 공간.
자명종,일상,2,미리 정해 놓은 시각이 되면 저절로 소리가 나도록 장치가 되어 있는 시계.
자문자답,고사성어,3,스스로 묻고 스스로 대답하는 것
자물쇠,일상,2,열고 닫게 되어 있는 물건을 잠그는 장치.
자본,경제,2,장사나 사업 등을 하는 데에 바탕이 되는 돈.
자본금,경제,3,이익을 얻기 위해 사업에 투자한 돈.
자본재,경제,3,이윤을 얻기 위하여 필요한 기계나 원자재 등의 생산 수단.
자부심,일상,2,스스로 자신의 가치나 능력을 믿고 떳떳이 여기는 마음.
자사주,경제,3,기업이 스스로 자기 회사의 주식을 사는 것
자산,경제,3,"개인이나 법인이 가지고 있는, 경제적 가치가 있는 재산."
자산가,경제,3,재산을 많이 가지고 있는 사람.
자석,과학,3,쇠붙이를 끌어당기는 힘을 띤 물체.
자수성가,고사성어,3,남의 도움 없이 혼자 힘으로 성공하여 가문을 일으킴
자승자박,고사성어,4,자기가 만든 밧줄에 스스로 묶이는 상황
자업자득,고사성어,3,자기가 저지른 일에 대한 업보를 자기가 받는다.
자연,일상,1,"사람의 힘에 의한 것이 아닌, 세상에 원래부터 있거나 저절로 이루어지는 모든 현상이나 존재."
자연법칙,과학,3,자연의 모든 사물을 지배하는 원인과 결과의 법칙.
자영업자,경제,3,자신이 직접 사업을 관리하고 운영하는 사람.
자외선,과학,2,가시광선보다 파장이 짧은 고에너지 빛
자유,일상,1,무엇에 얽매이거나 구속되지 않고 자기의 생각과 의지대로 할 수 있는 상태.
자율신경계,과학,4,의지와 무관하게 내장 기능을 조절하는 신경계
자전,과학,3,천체가 자체의 고정된 축을 중심으로 돎. 또는 그런 운동.
자전거,일상,1,사람이 올라타고 두 발로 발판을 밟아 바퀴를 굴려서 나아가는 탈것.
자존심,일상,2,남에게 굽히지 않으려고 하거나 스스로를 높이려는 마음.
자중지난,고사성어,4,자기들끼리 내부적으로 싸워 분란이 일어난다.
자초지종,고사성어,3,일의 처음부터 끝까지 일어난 모든 과정
자판기,일상,1,돈을 넣고 원하는 물건을 고르면 사려는 물건이 자동으로 나오는 장치.
자포자기,고사성어,3,자신을 포기하고 스스로 망가뜨리는 절망적인 상태
자화자찬,고사성어,3,자기가 그린 그림을 스스로 칭찬한다
자회사,경제,3,큰 회사와 경제적 관계를 맺어 그 회사의 지배를 받는 회사.
작심삼일,고사성어,3,마음먹은 지 사흘을 넘기지 못하는 나약한 의지
잔고,경제,3,남은 돈의 액수.
잔디,일상,2,"정원, 공원, 골프장 등에 심는 잎이 짧고 가늘며, 촘촘하게 자라는 풀."
잔소리,일상,2,쓸데없이 자질구레한 말을 늘어놓음. 또는 그 말.
잔치,일상,1,기쁜 일이 있을 때에 음식을 차려 놓고 여러 사람이 모여 즐기는 일.
잠깐,일상,1,아주 짧은 시간 동안.
잡지,일상,1,"여러 가지 내용의 기사와 사진, 광고 등을 모아 정기적으로 발행하는 책."
장갑,일상,1,"천, 실, 가죽 등으로 만들어 손을 보호하거나 추위를 막기 위하여 손에 끼는 물건."
장난감,일상,1,아이들이 가지고 노는 여러 가지 물건.
장려금,경제,3,어떤 일을 하도록 권하기 위해 보태어 도와주는 돈.
장마,일상,1,여름철에 여러 날 계속해서 비가 오는 현상이나 날씨. 또는 그 비.
장마철,일상,2,여름에 며칠씩 계속해서 비가 내리는 시기.
장미,일상,1,"줄기에 가시가 있고 오월이나 유월에 향기롭게 피는 빨간색, 하얀색, 노란색 등의 꽃이 피는 나무. 또는 그 꽃."
장비,과학,3,어떤 일을 하기 위하여 갖추어야 할 물건이나 시설. 또는 그 물건이나 시설을 갖춤.
장삼이사,고사성어,4,평범한 사람들을 이르는 말
장유유서,고사성어,3,어른과 어린이 사이에는 지켜야 할 질서
장치,과학,3,어떤 목적에 따라 일을 해낼 수 있도록 기계나 도구 등을 설치함. 또는 그 기계나 도구.
장학금,경제,2,성적이 좋지만 가난하여 공부하는 데 어려움을 겪는 학생에게 주는 돈.
재개발,경제,2,낡은 지역을 새로 정비하는 사업
재계약,경제,3,계약을 다시 맺음. 또는 그 계약.
재고,경제,3,창고 등에 쌓여 있음.
재고량,경제,3,아직 팔지 않았거나 팔다가 남아서 창고에 쌓아 놓은 물건의 수량.
재고품,경제,3,아직 팔지 않았거나 팔다가 남아서 창고에 쌓아 놓은 물건.
재무,경제,3,돈이나 재산에 관한 일.
재미,일상,1,어떤 것이 주는 즐거운 기분이나 느낌.
재벌,경제,3,"경제 활동 분야에서, 커다란 자본과 강력한 힘을 가지고 있는 자본가나 기업가의 집단."
재벌가,경제,3,"경제 활동 분야에서, 커다란 자본과 강력한 힘을 가지고 있는 자본가나 기업가의 집안."
재산,경제,2,개인이나 단체가 가지고 있는 돈이나 돈으로 바꿀 수 있는 것.
재산세,경제,2,소유한 재산에 대해 부과하는 세금
재원,경제,3,필요한 자금이 나올 원천.
재정,경제,3,단체나 국가가 수입과 재산을 관리하며 사용하는 것. 또는 그 운영 상태.
재정난,경제,3,"개인이나 단체에서, 지출이 수입보다 지나치게 많아 적자를 메우기 어려운 상태."
재채기,일상,1,콧속이 자극을 받아 갑자기 큰 소리와 함께 숨이 터져 나오는 일.
재테크,경제,3,가지고 있는 돈이나 재산을 효율적으로 운용하여 이익을 내는 일.
재화,경제,3,사람이 원하는 것을 충족시키는 물건.
저금,경제,1,돈을 모아 두거나 은행 등의 금융 기관에 맡김. 또는 그런 돈.
저금리,경제,3,낮은 이자나 그 비율.
저녁,일상,1,해가 지기 시작할 때부터 밤이 될 때까지의 동안.
저당,경제,3,맞서서 겨룸.
저당권,경제,3,"빚을 진 사람이 빚을 갚지 못할 경우, 채권자가 담보에 대해 우선적으로 빚을 돌려받을 수 있는 권리."
저리,경제,3,낮은 이자나 그 비율.
저소득,경제,3,적은 수입.
저소득층,경제,3,상대적으로 다른 사람보다 돈을 적게 버는 사회 계층.
저울,일상,2,물건의 무게를 다는 데 쓰는 기구.
저임금,경제,3,낮은 임금.
저주파,과학,4,"귀로 들을 수 있는, 주파수가 낮은 파동이나 전자기파."
저축,경제,2,돈이나 재물 등을 아껴 써서 모아 둠.
적금,경제,3,돈을 모음. 또는 그 돈.
적립,경제,3,돈이나 물건 등을 모아서 쌓아 둠.
적립금,경제,3,모아서 쌓아 둔 돈.
적반하장,고사성어,3,도둑이 오히려 매를 든다
